timestamps,Var6
26/08/2021 10:00:00,28.157
26/08/2021 10:15:00,31.171
26/08/2021 10:30:00,27.342
26/08/2021 10:45:00,26.186
26/08/2021 11:00:00,27.084
26/08/2021 11:15:00,27.215
26/08/2021 11:30:00,29.928
26/08/2021 11:45:00,28.933
26/08/2021 12:00:00,29.655
26/08/2021 12:15:00,31.628
26/08/2021 12:30:00,31.943
26/08/2021 12:45:00,30.851
26/08/2021 13:00:00,30.2
26/08/2021 13:15:00,30.995
26/08/2021 13:30:00,29.243
26/08/2021 13:45:00,29.748
26/08/2021 14:00:00,30.378
26/08/2021 14:15:00,29.993
26/08/2021 14:30:00,29.483
26/08/2021 14:45:00,29.798
26/08/2021 15:00:00,29.131
26/08/2021 15:15:00,29.734
26/08/2021 15:30:00,29.867
26/08/2021 15:45:00,30.132
26/08/2021 16:00:00,30.347
26/08/2021 16:15:00,30.326
26/08/2021 16:30:00,30.178
26/08/2021 16:45:00,30.147
26/08/2021 17:00:00,29.526
26/08/2021 17:15:00,29.764
26/08/2021 17:30:00,29.746
26/08/2021 17:45:00,29.397
26/08/2021 18:00:00,28.813
26/08/2021 18:15:00,28.665
26/08/2021 18:30:00,27.748
26/08/2021 18:45:00,27.43
26/08/2021 19:00:00,26.634
26/08/2021 19:15:00,26.182
26/08/2021 19:30:00,25.242
26/08/2021 19:45:00,24.048
26/08/2021 20:00:00,22.687
26/08/2021 20:15:00,21.875
26/08/2021 20:30:00,21.288
26/08/2021 20:45:00,21.321
26/08/2021 21:00:00,21.546
26/08/2021 21:15:00,21.093
26/08/2021 21:30:00,21.003
26/08/2021 21:45:00,20.938
26/08/2021 22:00:00,21.795
26/08/2021 22:15:00,22.205
26/08/2021 22:30:00,22.262
26/08/2021 22:45:00,22.369
26/08/2021 23:00:00,22.097
26/08/2021 23:15:00,22.018
26/08/2021 23:30:00,22.096
26/08/2021 23:45:00,21.927
27/08/2021 00:00:00,21.909
27/08/2021 00:15:00,22.052
27/08/2021 00:30:00,21.942
27/08/2021 00:45:00,21.521
27/08/2021 01:00:00,21.279
27/08/2021 01:15:00,20.926
27/08/2021 01:30:00,21.172
27/08/2021 01:45:00,21.148
27/08/2021 02:00:00,20.963
27/08/2021 02:15:00,20.568
27/08/2021 02:30:00,20.46
27/08/2021 02:45:00,20.694
27/08/2021 03:00:00,20.732
27/08/2021 03:15:00,20.921
27/08/2021 03:30:00,20.755
27/08/2021 03:45:00,20.167
27/08/2021 04:00:00,19.774
27/08/2021 04:15:00,19.738
27/08/2021 04:30:00,19.52
27/08/2021 04:45:00,19.075
27/08/2021 05:00:00,18.827
27/08/2021 05:15:00,18.793
27/08/2021 05:30:00,18.515
27/08/2021 05:45:00,18.228
27/08/2021 06:00:00,17.99
27/08/2021 06:15:00,18.03
27/08/2021 06:30:00,18.118
27/08/2021 06:45:00,18.154
27/08/2021 07:00:00,17.968
27/08/2021 07:15:00,17.803
27/08/2021 07:30:00,17.72
27/08/2021 07:45:00,17.721
27/08/2021 08:00:00,17.576
27/08/2021 08:15:00,17.471
27/08/2021 08:30:00,17.553
27/08/2021 08:45:00,17.684
27/08/2021 09:00:00,17.39
27/08/2021 09:15:00,17.052
27/08/2021 09:30:00,16.57
27/08/2021 09:45:00,16.86
27/08/2021 10:00:00,16.695
27/08/2021 10:15:00,16.862
27/08/2021 10:30:00,17.226
27/08/2021 10:45:00,17.418
27/08/2021 11:00:00,17.613
27/08/2021 11:15:00,19.019
27/08/2021 11:30:00,18.072
27/08/2021 11:45:00,18.895
27/08/2021 12:00:00,21.575
27/08/2021 12:15:00,20.618
27/08/2021 12:30:00,21.243
27/08/2021 12:45:00,21.979
27/08/2021 13:00:00,23.166
27/08/2021 13:15:00,23.758
27/08/2021 13:30:00,22.298
27/08/2021 13:45:00,23.892
27/08/2021 14:00:00,25.054
27/08/2021 14:15:00,23.921
27/08/2021 14:30:00,24.385
27/08/2021 14:45:00,24.96
27/08/2021 15:00:00,23.943
27/08/2021 15:15:00,24.755
27/08/2021 15:30:00,25.365
27/08/2021 15:45:00,25.242
27/08/2021 16:00:00,24.984
27/08/2021 16:15:00,24.868
27/08/2021 16:30:00,25.554
27/08/2021 16:45:00,25.91
27/08/2021 17:00:00,22.17
27/08/2021 17:15:00,25.183
27/08/2021 17:30:00,23.954
27/08/2021 17:45:00,22.803
27/08/2021 18:00:00,24.306
27/08/2021 18:15:00,22.48
27/08/2021 18:30:00,22.339
27/08/2021 18:45:00,21.585
27/08/2021 19:00:00,21.843
27/08/2021 19:15:00,21.522
27/08/2021 19:30:00,20.384
27/08/2021 19:45:00,19.566
27/08/2021 20:00:00,18.374
27/08/2021 20:15:00,17.721
27/08/2021 20:30:00,17.966
27/08/2021 20:45:00,18.192
27/08/2021 21:00:00,17.648
27/08/2021 21:15:00,17.045
27/08/2021 21:30:00,16.537
27/08/2021 21:45:00,16.595
27/08/2021 22:00:00,16.132
27/08/2021 22:15:00,15.721
27/08/2021 22:30:00,15.585
27/08/2021 22:45:00,15.479
27/08/2021 23:00:00,15.266
27/08/2021 23:15:00,15.257
27/08/2021 23:30:00,15.199
27/08/2021 23:45:00,15.124
28/08/2021 00:00:00,15.367
28/08/2021 00:15:00,15.564
28/08/2021 00:30:00,15.646
28/08/2021 00:45:00,15.573
28/08/2021 01:00:00,15.537
28/08/2021 01:15:00,15.336
28/08/2021 01:30:00,15.145
28/08/2021 01:45:00,14.689
28/08/2021 02:00:00,14.173
28/08/2021 02:15:00,14.258
28/08/2021 02:30:00,14.25
28/08/2021 02:45:00,14.569
28/08/2021 03:00:00,15.003
28/08/2021 03:15:00,15.113
28/08/2021 03:30:00,15.406
28/08/2021 03:45:00,15.108
28/08/2021 04:00:00,15.545
28/08/2021 04:15:00,15.563
28/08/2021 04:30:00,15.605
28/08/2021 04:45:00,15.706
28/08/2021 05:00:00,15.599
